,year,tmID,coach_rating,team_rating,playoff,confID,top10_mean
48,4,1,45.63286979857981,99.0,1,0,14.243337338420385
49,4,3,44.294619036968136,99.0,1,0,11.756239488421356
50,4,4,45.63286979857981,99.0,1,0,16.367893052709665
51,4,5,45.63286979857981,99.0,1,0,11.18554283754698
52,4,6,0.0,99.0,1,1,14.33912321366623
53,4,7,11.865363927208605,0.99,0,0,10.825311926403966
54,4,8,94.00293928929275,99.0,1,1,19.472959440920288
55,4,10,45.63286979857981,99.0,1,1,11.641074147367032
56,4,11,11.717648263813752,0.0,0,0,11.522864583333334
57,4,13,45.63286979857981,2.9699999999999998,0,1,9.375018734723815
58,4,15,45.63286979857981,99.0,1,1,14.895897360805165
59,4,16,0.0,0.0,0,1,14.727168397342307
60,4,17,12.45611248146216,0.0,0,1,13.755923379593327
61,4,19,45.63286979857981,3.96,0,0,9.032093858842131
62,5,1,45.63286979857981,0.0,0,0,13.52059041688067
63,5,4,45.63286979857981,99.0,1,0,10.073216392649904
64,5,5,28.956994960273736,99.0,1,0,11.78053558420746
65,5,6,18.11779124558471,0.0,0,1,16.21181678416243
66,5,7,45.63286979857981,0.99,0,0,14.568547217284186
67,5,8,45.63286979857981,99.0,1,1,16.3758681243525
68,5,10,45.63286979857981,99.0,1,1,8.83189396290017
69,5,11,45.63286979857981,99.0,1,0,12.937329448177602
70,5,13,45.63286979857981,1.98,0,1,10.799015361197412
71,5,15,45.63286979857981,99.0,1,1,13.487836854716164
72,5,16,45.63286979857981,0.0,0,1,15.747678683531571
73,5,17,87.29827826339559,99.0,1,1,17.18486941567948
74,5,19,45.63286979857981,99.0,1,0,14.079980657640231
75,6,1,6.685017144993165,0.99,0,0,16.130075952211918
76,6,4,94.51099237741937,99.0,1,0,11.74514044620781
77,6,5,58.37985554553722,99.0,1,0,19.435310384377452
78,6,6,88.60644894270168,99.0,1,1,19.090688381415468
79,6,7,45.63286979857981,99.0,1,0,12.641798384077797
80,6,8,45.63286979857981,99.0,1,1,17.79278979492478
81,6,10,10.840698285516217,1.98,0,1,8.66836039248108
82,6,11,45.63286979857981,99.0,1,0,12.38135995913891
83,6,13,45.63286979857981,0.0,0,1,13.043576189343417
84,6,15,86.71336922378318,99.0,1,1,9.60698182085693
85,6,16,11.865363927208605,2.9699999999999998,0,1,11.21305312874503
86,6,17,98.99999999999999,99.0,1,1,11.835881049441568
87,6,19,48.42946876995104,4.95,0,0,11.605771468702105
88,7,1,45.63286979857981,1.98,0,0,10.070170638416148
89,7,2,45.63286979857981,0.0,0,0,9.10557501880957
90,7,4,96.13037986266811,99.0,1,0,13.64277639279415
91,7,5,85.11962926439423,99.0,1,0,15.32207051745641
92,7,6,80.28368746339763,99.0,1,1,14.888147335273848
93,7,7,79.45089059023707,99.0,1,0,11.351015845680026
94,7,8,45.63286979857981,99.0,1,1,12.132482582441703
95,7,10,36.502335561631156,2.9699999999999998,0,1,8.611786762196314
96,7,11,14.750665377968595,0.99,0,0,6.238805310626715
97,7,13,45.63286979857981,1.98,0,1,12.233280711563378
98,7,15,96.13037986266811,99.0,1,1,11.097473989302756
99,7,16,28.136211359253974,1.98,0,1,7.433263731774761
100,7,17,93.85834131311255,99.0,1,1,15.516827206090237
101,7,19,48.42946876995104,99.0,1,0,13.143789092292252
102,8,2,45.63286979857981,0.0,0,0,7.647521550286781
103,8,4,94.28588703120631,99.0,1,0,13.190546965757449
104,8,5,90.59270912010913,99.0,1,0,15.254052264066175
105,8,6,45.63286979857981,0.0,0,1,14.490848678530625
106,8,7,89.15025978511129,99.0,1,0,15.851863975306363
107,8,8,9.656223616361459,0.0,0,1,13.759390099216635
108,8,10,45.63286979857981,0.0,0,1,6.512641576004017
109,8,11,79.01213919474165,99.0,1,0,9.820179905582922
110,8,13,45.63286979857981,99.0,1,1,15.904132621863031
111,8,15,45.63286979857981,99.0,1,1,14.306649299288328
112,8,16,86.9044707685531,99.0,1,1,12.423340695076146
113,8,17,69.17997964258664,99.0,1,1,16.80684466513366
